run_id,policy,backend,adjusted_time,mean_lap_time,total_collisions,n_episodes,timestamp,contracts_version,kind,protocol_id,dnf,mean_progress_frac,scoring_rev
ftg_gym_map0,ftg,gym,,,1,1,2026-09-17T02:49:00Z,1.0.0,smoke,,,,1
20260917_030335_ppo_gym_map0,ppo,gym,,,0,1,2026-09-17T03:04:07Z,1.0.0,smoke,,,,1
20260917_031601_ppo_gym_map0,ppo,gym,1.4500000000000002,1.4500000000000002,0,1,2026-09-17T03:16:14Z,1.0.0,smoke,,,,1
ftg_gym_map0,ftg,gym,,,1,1,2026-09-17T03:16:51Z,1.0.0,smoke,,,,1
20260917_033621_ppo_gym_map0,ppo,gym,,,0,1,2026-09-17T03:37:20Z,1.0.0,smoke,,,,1
dryrun_follow_status,ppo,gym,,,0,1,2026-09-17T03:39:27Z,1.0.0,smoke,,,,1
ppo_map0_10k_ckpt,ppo,gym,,,0,3,2026-09-17T03:39:33Z,1.0.0,smoke,,,,1
ppo_map0_25k_ready,ppo,gym,,,0,3,2026-09-17T03:43:36Z,1.0.0,smoke,,,,1
smoke_p0_plan,ppo,gym,3.25,3.25,0,2,2026-09-17T05:48:45Z,2.0.0,smoke,,,,1
smoke_p0_plan,ppo,gym,3.25,3.25,0,1,2026-09-17T05:49:19Z,2.0.0,smoke,,,,1
ftg_official_v1,ftg,gym,,,2,2,2026-09-17T05:49:44Z,2.0.0,official,official_v1,,,1
eval_ppo_smoke_p0_plan,ppo,gym,3.25,3.25,0,2,2026-09-17T05:49:49Z,2.0.0,official,official_v1,,,1
ftg_official_v1,ftg,gym,80.0,,2,2,2026-09-17T06:01:21Z,2.0.0,official,official_v1,True,0.013381195044312,1
eval_ppo_smoke_racecore_a,ppo,gym,60.0,,0,2,2026-09-17T06:02:39Z,2.0.0,official,official_v1,True,0.003915737731194491,1
ftg_official_v1,ftg,gym,80.0,,2,2,2026-09-17T06:03:44Z,2.0.0,official,official_v1,True,0.013381195044312,2
ftg_official_v2,ftg,gym,198.20000000000002,198.20000000000002,0,3,2026-09-17T06:16:20Z,2.0.0,official,official_v2,False,0.9901935462080019,2
ftg_official_v2,ftg,gym,198.16,198.16,0,15,2026-09-17T06:26:21Z,2.0.0,official,official_v2,False,0.9901390006180976,2
